Time_sample,Sway_M1_sight_T1,Sway_M2_sight_T1,Sway_M3_sight_T1,Sway_M4_sight_T1,Sway_M1_sight_T2,Sway_M2_sight_T2,Sway_M3_sight_T2,Sway_M4_sight_T2,Sway_M1_sight_T3,Sway_M2_sight_T3,Sway_M3_sight_T3,Sway_M4_sight_T3,Sway_M1_nosight_T1,Sway_M2_nosight_T1,Sway_M3_nosight_T1,Sway_M4_nosight_T1,Sway_M1_nosight_T2,Sway_M2_nosight_T2,Sway_M3_nosight_T2,Sway_M4_nosight_T2,Sway_M1_nosight_T3,Sway_M2_nosight_T3,Sway_M3_nosight_T3,Sway_M4_nosight_T3
54,2.4,8.9,9.4,-9.4,2.2,2.5,9.6,-5,2.1,2.2,2.2,2.5,2.9,9.3,7,-8.6,0.9,9.4,6,-8.3,3,9.7,6.4,-8.1
55,5.2,-9.5,11,-7.2,5.5,5.8,-9.5,-10,5.4,5.5,5.6,5.8,5.8,-9.4,9.7,-5.9,3.8,-9.5,8.7,-5.6,5.9,-9.7,9.1,-5.4
56,8.7,-6.7,-10.1,-5.1,8.6,9.5,-5.4,-10.1,8.5,8.6,8.7,8.9,8.5,-6,-9.9,-3.8,6.5,-6.1,-10.9,-3.5,8.5,-6.3,-10.4,-3.3
57,-8.6,-3.1,-8.9,-2.4,-8.2,-9,-2.6,-6,-8,-8.4,-8.5,-8.8,-8.4,-3.1,-6.8,-1.2,-8.2,-3.2,-7.8,-0.7,-8.5,-3.5,-7.8,-0.5
58,-5,-1.4,-5.4,-1.7,-4.9,-5.1,-1.5,-3.2,-4.8,-5,-5,-5.3,-6.1,-1.2,-4.2,-0.5,-8.1,-1.3,-5.2,-0.1,-6.2,-1.6,-4.8,-0.1
59,-2.3,0,-4.9,0,-2.1,-2.3,0,-2.1,-2,-2.1,-2.2,-2.4,-3.4,0,-2.9,0,-5.4,0,-3.9,0,-3.5,0,-3.5,0
60,0,1.7,-2.3,1.9,0,0,1.6,-0.6,0,0,0,0,0,1.3,-1.5,0.9,0,1.4,-2.5,0.3,0,1.7,-2.1,0.5
61,2.4,3.5,0,2.7,2.2,2.5,2.7,0,2.1,2.2,2.2,2.5,2.9,3.3,0,1.5,0.9,3.4,0,1.2,3,3.7,0,1.4
62,5.2,7.1,2.6,4.8,5.5,5.8,5.5,-0.5,5.4,5.5,5.6,5.8,5.8,6.4,1.6,4,3.8,6.5,0.6,3.9,5.9,6.8,1,4.1
63,8.7,8.9,5.1,7.3,8.6,9.5,9.6,-2,8.5,8.6,8.7,8.9,8.5,9.3,3.3,5.4,6.5,9.4,2.3,5.5,8.5,9.7,2.7,5.7
64,-8.6,-9.5,5.8,8.9,-8.2,-9,-9.5,-3.1,-8,-8.4,-8.5,-8.8,-8.4,-9.4,4.5,8.5,-8.2,-9.5,3.5,8.5,-8.5,-9.7,3.9,8.7
65,-5,-6.7,9.4,10.4,-4.9,-5.1,-5.4,-5,-4.8,-5,-5,-5.3,-6.1,-6,7,9.9,-8.1,-6.1,6,9.9,-6.2,-6.3,6.4,10.1
66,-2.3,-3.1,11,-10.9,-2.1,-2.3,-2.6,-10,-2,-2.1,-2.2,-2.4,-3.4,-3.1,9.7,-10.3,-5.4,-3.2,8.7,-10,-3.5,-3.5,9.1,-9.8
67,0,-1.4,-10.1,-9.4,0,0,-1.5,-10.1,0,0,0,0,0,-1.2,-9.9,-8.6,0,-1.3,-10.9,-8.3,0,-1.6,-10.4,-8.1
68,2.4,0,-8.9,-7.2,2.2,2.5,0,-6,2.1,2.2,2.2,2.5,2.9,0,-6.8,-5.9,0.9,0,-7.8,-5.6,3,0,-7.8,-5.4
69,5.2,1.7,-5.4,-5.1,5.5,5.8,1.6,-3.2,5.4,5.5,5.6,5.8,5.8,1.3,-4.2,-3.8,3.8,1.4,-5.2,-3.5,5.9,1.7,-4.8,-3.3
70,8.7,3.5,-4.9,-2.4,8.6,9.5,2.7,-2.1,8.5,8.6,8.7,8.9,8.5,3.3,-2.9,-1.2,6.5,3.4,-3.9,-0.7,8.5,3.7,-3.5,-0.5
71,-8.6,7.1,-2.3,-1.7,-8.2,-9,5.5,-0.6,-8,-8.4,-8.5,-8.8,-8.4,6.4,-1.5,-0.5,-8.2,6.5,-2.5,-0.1,-8.5,6.8,-2.1,-0.1
72,-5,8.9,0,0,-4.9,-5.1,9.6,0,-4.8,-5,-5,-5.3,-6.1,9.3,0,0,-8.1,9.4,0,0,-6.2,9.7,0,0
73,-2.3,-9.5,2.6,1.9,-2.1,-2.3,-9.5,-0.5,-2,-2.1,-2.2,-2.4,-3.4,-9.4,1.6,0.9,-5.4,-9.5,0.6,0.3,-3.5,-9.7,1,0.5
74,0,-6.7,5.1,2.7,0,0,-5.4,-2,0,0,0,0,0,-6,3.3,1.5,0,-6.1,2.3,1.2,0,-6.3,2.7,1.4
75,2.4,-3.1,5.8,4.8,2.2,2.5,-2.6,-3.1,2.1,2.2,2.2,2.5,2.9,-3.1,4.5,4,0.9,-3.2,3.5,3.9,3,-3.5,3.9,4.1
76,5.2,-1.4,9.4,7.3,5.5,5.8,-1.5,-5,5.4,5.5,5.6,5.8,5.8,-1.2,7,5.4,3.8,-1.3,6,5.5,5.9,-1.6,6.4,5.7
77,8.7,0,11,8.9,8.6,9.5,0,-10,8.5,8.6,8.7,8.9,8.5,0,9.7,8.5,6.5,0,8.7,8.5,8.5,0,9.1,8.7
78,-8.6,1.7,-10.1,10.4,-8.2,-9,1.6,-10.1,-8,-8.4,-8.5,-8.8,-8.4,1.3,-9.9,9.9,-8.2,1.4,-10.9,9.9,-8.5,1.7,-10.4,10.1
79,-5,3.5,-8.9,-10.9,-4.9,-5.1,2.7,-6,-4.8,-5,-5,-5.3,-6.1,3.3,-6.8,-10.3,-8.1,3.4,-7.8,-10,-6.2,3.7,-7.8,-9.8
80,-2.3,7.1,-5.4,-9.4,-2.1,-2.3,5.5,-3.2,-2,-2.1,-2.2,-2.4,-3.4,6.4,-4.2,-8.6,-5.4,6.5,-5.2,-8.3,-3.5,6.8,-4.8,-8.1
81,0,8.9,-4.9,-7.2,0,0,9.6,-2.1,0,0,0,0,0,9.3,-2.9,-5.9,0,9.4,-3.9,-5.6,0,9.7,-3.5,-5.4
82,2.4,-9.5,-2.3,-5.1,2.2,2.5,-9.5,-0.6,2.1,2.2,2.2,2.5,2.9,-9.4,-1.5,-3.8,0.9,-9.5,-2.5,-3.5,3,-9.7,-2.1,-3.3
83,5.2,-6.7,0,-2.4,5.5,5.8,-5.4,0,5.4,5.5,5.6,5.8,5.8,-6,0,-1.2,3.8,-6.1,0,-0.7,5.9,-6.3,0,-0.5
84,8.7,-3.1,2.6,-1.7,8.6,9.5,-2.6,-0.5,8.5,8.6,8.7,8.9,8.5,-3.1,1.6,-0.5,6.5,-3.2,0.6,-0.1,8.5,-3.5,1,-0.1
85,-8.6,-1.4,5.1,0,-8.2,-9,-1.5,-2,-8,-8.4,-8.5,-8.8,-8.4,-1.2,3.3,0,-8.2,-1.3,2.3,0,-8.5,-1.6,2.7,0
86,-5,0,5.8,1.9,-4.9,-5.1,0,-3.1,-4.8,-5,-5,-5.3,-6.1,0,4.5,0.9,-8.1,0,3.5,0.3,-6.2,0,3.9,0.5
87,-2.3,1.7,9.4,2.7,-2.1,-2.3,1.6,-5,-2,-2.1,-2.2,-2.4,-3.4,1.3,7,1.5,-5.4,1.4,6,1.2,-3.5,1.7,6.4,1.4
88,0,3.5,11,4.8,0,0,2.7,-10,0,0,0,0,0,3.3,9.7,4,0,3.4,8.7,3.9,0,3.7,9.1,4.1
89,2.4,7.1,-10.1,7.3,2.2,2.5,5.5,-10.1,2.1,2.2,2.2,2.5,2.9,6.4,-9.9,5.4,0.9,6.5,-10.9,5.5,3,6.8,-10.4,5.7
90,5.2,8.9,-8.9,8.9,5.5,5.8,9.6,-6,5.4,5.5,5.6,5.8,5.8,9.3,-6.8,8.5,3.8,9.4,-7.8,8.5,5.9,9.7,-7.8,8.7
91,8.7,-9.5,-5.4,10.4,8.6,9.5,-9.5,-3.2,8.5,8.6,8.7,8.9,8.5,-9.4,-4.2,9.9,6.5,-9.5,-5.2,9.9,8.5,-9.7,-4.8,10.1
92,-8.6,-6.7,-4.9,-10.9,-8.2,-9,-5.4,-2.1,-8,-8.4,-8.5,-8.8,-8.4,-6,-2.9,-10.3,-8.2,-6.1,-3.9,-10,-8.5,-6.3,-3.5,-9.8
93,-5,-3.1,-2.3,-9.4,-4.9,-5.1,-2.6,-0.6,-4.8,-5,-5,-5.3,-6.1,-3.1,-1.5,-8.6,-8.1,-3.2,-2.5,-8.3,-6.2,-3.5,-2.1,-8.1
94,-2.3,-1.4,0,-7.2,-2.1,-2.3,-1.5,0,-2,-2.1,-2.2,-2.4,-3.4,-1.2,0,-5.9,-5.4,-1.3,0,-5.6,-3.5,-1.6,0,-5.4
95,0,0,2.6,-5.1,0,0,0,-0.5,0,0,0,0,0,0,1.6,-3.8,0,0,0.6,-3.5,0,0,1,-3.3
96,2.4,1.7,5.1,-2.4,2.2,2.5,1.6,-2,2.1,2.2,2.2,2.5,2.9,1.3,3.3,-1.2,0.9,1.4,2.3,-0.7,3,1.7,2.7,-0.5
97,5.2,3.5,5.8,-1.7,5.5,5.8,2.7,-3.1,5.4,5.5,5.6,5.8,5.8,3.3,4.5,-0.5,3.8,3.4,3.5,-0.1,5.9,3.7,3.9,-0.1
98,8.7,7.1,9.4,0,8.6,9.5,5.5,-5,8.5,8.6,8.7,8.9,8.5,6.4,7,0,6.5,6.5,6,0,8.5,6.8,6.4,0
99,-8.6,8.9,11,1.9,-8.2,-9,9.6,-10,-8,-8.4,-8.5,-8.8,-8.4,9.3,9.7,0.9,-8.2,9.4,8.7,0.3,-8.5,9.7,9.1,0.5
100,-5,-9.5,-10.1,2.7,-4.9,-5.1,-9.5,-10.1,-4.8,-5,-5,-5.3,-6.1,-9.4,-9.9,1.5,-8.1,-9.5,-10.9,1.2,-6.2,-9.7,-10.4,1.4
101,-2.3,-6.7,-8.9,4.8,-2.1,-2.3,-5.4,-6,-2,-2.1,-2.2,-2.4,-3.4,-6,-6.8,4,-5.4,-6.1,-7.8,3.9,-3.5,-6.3,-7.8,4.1
102,0,-3.1,-5.4,7.3,0,0,-2.6,-3.2,0,0,0,0,0,-3.1,-4.2,5.4,0,-3.2,-5.2,5.5,0,-3.5,-4.8,5.7
103,2.4,-1.4,-4.9,8.9,2.2,2.5,-1.5,-2.1,2.1,2.2,2.2,2.5,2.9,-1.2,-2.9,8.5,0.9,-1.3,-3.9,8.5,3,-1.6,-3.5,8.7
104,5.2,0,-2.3,10.4,5.5,5.8,0,-0.6,5.4,5.5,5.6,5.8,5.8,0,-1.5,9.9,3.8,0,-2.5,9.9,5.9,0,-2.1,10.1
105,8.7,1.7,0,-10.9,8.6,9.5,1.6,0,8.5,8.6,8.7,8.9,8.5,1.3,0,-10.3,6.5,1.4,0,-10,8.5,1.7,0,-9.8
106,-8.6,3.5,2.6,-9.4,-8.2,-9,2.7,-0.5,-8,-8.4,-8.5,-8.8,-8.4,3.3,1.6,-8.6,-8.2,3.4,0.6,-8.3,-8.5,3.7,1,-8.1
107,-5,7.1,5.1,-7.2,-4.9,-5.1,5.5,-2,-4.8,-5,-5,-5.3,-6.1,6.4,3.3,-5.9,-8.1,6.5,2.3,-5.6,-6.2,6.8,2.7,-5.4
108,-2.3,8.9,5.8,-5.1,-2.1,-2.3,9.6,-3.1,-2,-2.1,-2.2,-2.4,-3.4,9.3,4.5,-3.8,-5.4,9.4,3.5,-3.5,-3.5,9.7,3.9,-3.3
109,0,-9.5,9.4,-2.4,0,0,-9.5,-5,0,0,0,0,0,-9.4,7,-1.2,0,-9.5,6,-0.7,0,-9.7,6.4,-0.5
110,2.4,-6.7,11,-1.7,2.2,2.5,-5.4,-10,2.1,2.2,2.2,2.5,2.9,-6,9.7,-0.5,0.9,-6.1,8.7,-0.1,3,-6.3,9.1,-0.1
111,5.2,-3.1,-8.9,0,5.5,5.8,-2.6,-10.1,5.4,5.5,5.6,5.8,5.8,-3.1,-9.9,0,3.8,-3.2,-10.9,0,5.9,-3.5,-10.4,0
112,8.7,-1.4,-5.4,1.9,8.6,9.5,-1.5,-6,8.5,8.6,8.7,8.9,8.5,-1.2,-6.8,0.9,6.5,-1.3,-7.8,0.3,8.5,-1.6,-7.8,0.5
113,-8.6,0,-4.9,2.7,-8.2,-9,0,-3.2,-8,-8.4,-8.5,-8.8,-8.4,0,-4.2,1.5,-8.2,0,-5.2,1.2,-8.5,0,-4.8,1.4
114,-5,1.7,-2.3,4.8,-4.9,-5.1,1.6,-2.1,-4.8,-5,-5,-5.3,-6.1,1.3,-2.9,4,-8.1,1.4,-3.9,3.9,-6.2,1.7,-3.5,4.1
115,-2.3,3.5,0,7.3,-2.1,-2.3,2.7,-0.6,-2,-2.1,-2.2,-2.4,-3.4,3.3,-1.5,5.4,-5.4,3.4,-2.5,5.5,-3.5,3.7,-2.1,5.7
116,0,7.1,2.6,8.9,0,0,5.5,0,0,0,0,0,0,6.4,0,8.5,0,6.5,0,8.5,0,6.8,0,8.7
117,2.4,8.9,5.1,10.4,2.2,2.5,9.6,-0.5,2.1,2.2,2.2,2.5,2.9,9.3,1.6,9.9,0.9,9.4,0.6,9.9,3,9.7,1,10.1
118,5.2,-9.5,5.8,-10.9,5.5,5.8,-9.5,-2,5.4,5.5,5.6,5.8,5.8,-9.4,3.3,-10.3,3.8,-9.5,2.3,-10,5.9,-9.7,2.7,-9.8
119,8.7,-6.7,9.4,-9.4,8.6,9.5,-5.4,-3.1,8.5,8.6,8.7,8.9,8.5,-6,4.5,-8.6,6.5,-6.1,3.5,-8.3,8.5,-6.3,3.9,-8.1
120,-8.6,-3.1,11,-7.2,-8.2,-9,-2.6,-5,-8,-8.4,-8.5,-8.8,-8.4,-3.1,7,-5.9,-8.2,-3.2,6,-5.6,-8.5,-3.5,6.4,-5.4
121,-5,-1.4,-10.1,-5.1,-4.9,-5.1,-1.5,-10,-4.8,-5,-5,-5.3,-6.1,-1.2,9.7,-3.8,-8.1,-1.3,8.7,-3.5,-6.2,-1.6,9.1,-3.3
122,-2.3,0,-8.9,-2.4,-2.1,-2.3,0,-10.1,-2,-2.1,-2.2,-2.4,-3.4,0,-9.9,-1.2,-5.4,0,-10.9,-0.7,-3.5,0,-10.4,-0.5
123,0,1.7,-5.4,-1.7,0,0,1.6,-6,0,0,0,0,0,1.3,-6.8,-0.5,0,1.4,-7.8,-0.1,0,1.7,-7.8,-0.1
124,2.4,3.5,-4.9,0,2.2,2.5,2.7,-3.2,2.1,2.2,2.2,2.5,2.9,3.3,-4.2,0,0.9,3.4,-5.2,0,3,3.7,-4.8,0
125,5.2,7.1,-2.3,1.9,5.5,5.8,5.5,-2.1,5.4,5.5,5.6,5.8,5.8,6.4,-2.9,0.9,3.8,6.5,-3.9,0.3,5.9,6.8,-3.5,0.5
126,8.7,8.9,0,2.7,8.6,9.5,9.6,-0.6,8.5,8.6,8.7,8.9,8.5,9.3,-1.5,1.5,6.5,9.4,-2.5,1.2,8.5,9.7,-2.1,1.4
127,-8.6,-9.5,2.6,4.8,-8.2,-9,-9.5,0,-8,-8.4,-8.5,-8.8,-8.4,-9.4,0,4,-8.2,-9.5,0,3.9,-8.5,-9.7,0,4.1
128,-5,-6.7,5.1,7.3,-4.9,-5.1,-5.4,-0.5,-4.8,-5,-5,-5.3,-6.1,-6,1.6,5.4,-8.1,-6.1,0.6,5.5,-6.2,-6.3,1,5.7
129,-2.3,-3.1,5.8,8.9,-2.1,-2.3,-2.6,-2,-2,-2.1,-2.2,-2.4,-3.4,-3.1,3.3,8.5,-5.4,-3.2,2.3,8.5,-3.5,-3.5,2.7,8.7
130,0,-1.4,9.4,10.4,0,0,-1.5,-3.1,0,0,0,0,0,-1.2,4.5,9.9,0,-1.3,3.5,9.9,0,-1.6,3.9,10.1
131,2.4,0,11,-10.9,2.2,2.5,0,-5,2.1,2.2,2.2,2.5,2.9,0,7,-10.3,0.9,0,6,-10,3,0,6.4,-9.8
132,5.2,1.7,-10.1,-9.4,5.5,5.8,1.6,-10,5.4,5.5,5.6,5.8,5.8,1.3,9.7,-8.6,3.8,1.4,8.7,-8.3,5.9,1.7,9.1,-8.1
133,8.7,3.5,-8.9,-7.2,8.6,9.5,2.7,-10.1,8.5,8.6,8.7,8.9,8.5,3.3,-9.9,-5.9,6.5,3.4,-10.9,-5.6,8.5,3.7,-10.4,-5.4
