FILM_ID,GENRE,R1_PLOT_SHAPE,R2_PLOT_SHAPE,R1_GOAL_TYPE,R2_GOAL_TYPE,R1_AGENCY,R2_AGENCY,R1_COOPERATIVENESS,R2_COOPERATIVENESS,R1_ASSERTIVENESS,R2_ASSERTIVENESS,MEAN_CRITIC_RATING,NET_PROFIT
126,4,4,4,2,2,1,2,3,3,3,3,61,69450000
127,4,1,1,2,2,3,3,2,2,2,2,71,46150000
128,4,1,1,2,2,2,2,2,2,2,2,68,39850000
129,4,1,1,1,1,1,1,3,3,3,3,58,37450000
130,4,4,4,1,1,3,3,3,3,3,3,86,79750000
131,4,1,1,2,2,2,2,2,2,2,2,62,38250000
132,4,4,4,1,1,1,1,2,2,2,2,59,38650000
133,4,4,4,1,1,3,3,2,2,3,3,79,72750000
134,4,4,4,2,2,1,1,3,3,3,3,71,4900000
135,4,4,4,1,1,3,3,3,3,2,2,78,71750000
136,4,1,1,2,2,2,3,3,3,2,2,69,41500000
137,4,1,1,1,1,1,1,2,2,3,3,62,3800000
138,4,1,1,1,1,3,3,2,2,2,2,73,61250000
139,4,4,4,1,1,2,2,2,2,3,3,73,84000000
140,4,1,1,2,2,3,3,3,3,2,2,84,73650000
141,4,4,4,2,2,1,1,3,3,2,2,69,40500000
142,4,1,1,2,2,3,3,3,3,3,3,89,168500000
143,4,1,1,1,1,2,2,2,2,2,2,56,42650000
144,4,1,1,2,2,1,1,2,2,3,3,65,14650000
145,4,1,1,1,1,3,3,3,3,3,3,85,115000000
146,4,4,4,1,1,3,3,3,3,3,3,43,8650000
147,5,2,2,2,2,1,1,2,2,1,1,21,35500000
148,5,4,4,2,2,1,1,3,3,2,2,54,37000000
149,5,3,3,2,2,2,2,2,2,1,1,62,50000000
150,5,3,3,2,2,2,2,3,3,2,2,70,54500000
